#{"t_start": 1617611168.7877684, "env_id": null}
r,l,t
1.095238,5,259.281878
-0.857143,7,259.494367
1.190476,9,259.766826
-0.785714,10,260.069905
1.166667,8,260.268948
1.214286,10,260.555678
-0.857143,7,260.744826
-0.809524,9,261.027223
-0.809524,9,261.308627
1.142857,7,261.479454
-0.761905,11,261.815821
-0.809524,9,262.098785
-0.761905,11,262.438664
-0.761905,11,262.771928
-0.857143,7,262.967558
1.142857,7,263.141531
1.166667,8,263.392946
-0.833333,8,263.64839
1.261905,12,263.966126
-0.809524,9,264.246101
1.190476,9,264.501013
1.190476,9,264.709397
1.142857,7,264.899289
-0.809524,9,265.137058
1.214286,10,265.42077
-0.880952,6,265.624576
1.190476,9,265.847916
1.190476,9,266.112597
-0.785714,10,266.427725
-0.785714,10,266.701605
1.190476,9,266.95825
1.190476,9,267.18099
1.190476,9,267.441334
-0.809524,9,267.735678
-0.904762,5,267.884853
1.238095,11,268.21269
-0.904762,5,268.359966
-0.809524,9,268.656314
1.190476,9,268.927163
-0.809524,9,269.18298
-0.833333,8,269.457984
-0.809524,9,269.740671
-0.785714,10,270.014831
1.238095,11,270.329304
1.166667,8,270.56447
-0.880952,6,270.730545
-0.880952,6,270.93699
-0.857143,7,271.129098
1.190476,9,271.384933
-0.833333,8,271.606118
1.095238,5,271.75477
1.214286,10,272.00326
-0.904762,5,272.178715
-0.809524,9,272.424815
-0.857143,7,272.653526
-0.904762,5,272.792735
-0.857143,7,273.019698
-0.809524,9,273.249523
-0.928571,4,273.399891
-0.880952,6,273.572904
1.095238,5,273.724726
1.190476,9,273.94781
1.166667,8,274.179284
1.261905,12,274.525391
-0.857143,7,274.719672
-0.833333,8,274.939865
-0.880952,6,275.141797
-0.857143,7,275.346373
-0.809524,9,275.649505
1.214286,10,275.949382
-0.809524,9,276.245843
-0.833333,8,276.481591
-0.857143,7,276.718926
1.095238,5,276.832403
-0.833333,8,277.083328
1.214286,10,277.333408
1.190476,9,277.591558
-0.809524,9,277.870402
1.190476,9,278.080667
1.238095,11,278.368225
1.190476,9,278.590122
-0.833333,8,278.844877
-0.857143,7,279.070943
